Date,Link,Rate,Diff
27/10/23,https://www.cbr.ru/press/pr/?file=27102023_133000key.htm,13.00,1
15/09/23,https://www.cbr.ru/press/pr/?file=15092023_133000Key.htm,12.00,0
15/08/23,https://www.cbr.ru/press/pr/?file=15082023_103000Key.htm,12.00,1
14/08/23,https://www.cbr.ru/press/pr/?file=638276292028696114DKP.htm,8.50,1
21/07/23,https://www.cbr.ru/press/pr/?file=21072023_133000Key.htm,7.50,0
09/06/23,https://www.cbr.ru/press/pr/?file=09062023_133024Key.htm,7.50,0
28/04/23,https://www.cbr.ru/press/pr/?file=28042023_133000Key.htm,7.50,0
17/03/23,https://www.cbr.ru/press/pr/?file=17032023_133000Key.htm,7.50,0
10/02/23,https://www.cbr.ru/press/pr/?file=10022023_133000Key.htm,7.50,0
16/12/22,https://www.cbr.ru/press/pr/?file=16122022_133000Key.htm,7.50,0
28/10/22,https://www.cbr.ru/press/pr/?file=28102022_133000Key.htm,7.50,-1
16/09/22,https://www.cbr.ru/press/pr/?file=16092022_133000Key.htm,8.00,-1
22/07/22,https://www.cbr.ru/press/pr/?file=22072022_133000Key.htm,9.50,-1
10/06/22,https://www.cbr.ru/press/pr/?file=10062022_133000Key.htm,11.00,-1
26/05/22,https://www.cbr.ru/press/pr/?file=26052022_103000key.htm,14.00,0
25/05/22,https://www.cbr.ru/press/pr/?file=25052022_094500DKP25052022_093214.htm,14.00,-1
29/04/22,https://www.cbr.ru/press/pr/?file=29042022_133000Key.htm,17.00,-1
08/04/22,https://www.cbr.ru/press/pr/?file=08042022_114000key.htm,20.00,0
18/03/22,https://www.cbr.ru/press/pr/?file=18032022_133000key.htm,20.00,0
28/02/22,https://www.cbr.ru/press/pr/?file=28022022_094500Key.htm,20.00,1
11/02/22,https://www.cbr.ru/press/pr/?file=11022022_133000Key.htm,8.50,1
17/12/21,https://www.cbr.ru/press/pr/?file=17122021_133000Key.htm,7.50,1
22/10/21,https://www.cbr.ru/press/pr/?file=22102021_133000Key.htm,6.75,1
10/09/21,https://www.cbr.ru/press/pr/?file=10092021_133000Key.htm,6.50,1
23/07/21,https://www.cbr.ru/press/pr/?file=23072021_133000Key.htm,5.50,1
11/06/21,https://www.cbr.ru/press/pr/?file=11062021_133000Key.htm,5.00,1
23/04/21,https://www.cbr.ru/press/pr/?file=23042021_133000key.htm,4.50,1
19/03/21,https://www.cbr.ru/press/pr/?file=19032021_133000key.htm,4.25,0
12/02/21,https://www.cbr.ru/press/pr/?file=12022021_133000Key.htm,4.25,0
18/12/20,https://www.cbr.ru/press/pr/?file=18122020_133000Key.htm,4.25,0
23/10/20,https://www.cbr.ru/press/pr/?file=23102020_133000key.htm,4.25,0
18/09/20,https://www.cbr.ru/press/pr/?file=18092020_133000key.htm,4.25,0
10/09/20,https://www.cbr.ru/press/pr/?file=10092020_130000PR2020-09-10T12_46_47.htm,4.25,-1
24/07/20,https://www.cbr.ru/press/pr/?file=24072020_133000Key.htm,4.50,-1
19/06/20,https://www.cbr.ru/press/pr/?file=19062020_133000Key.htm,5.50,-1
24/04/20,https://www.cbr.ru/press/pr/?file=24042020_133000Key.htm,6.00,0
20/03/20,https://www.cbr.ru/press/pr/?file=20032020_133000Key.htm,6.00,-1
07/02/20,https://www.cbr.ru/press/pr/?file=07022020_133000Key.htm,6.25,-1
13/12/19,https://www.cbr.ru/press/pr/?file=13122019_133000Key.htm,6.50,-1
25/10/19,https://www.cbr.ru/press/pr/?file=25102019_133000Key.htm,7.00,-1
06/09/19,https://www.cbr.ru/press/pr/?file=06092019_133000Key.htm,7.25,-1
26/07/19,https://www.cbr.ru/press/pr/?file=26072019_133000Key.htm,7.50,-1
14/06/19,https://www.cbr.ru/press/pr/?file=14062019_133000Key.htm,7.75,0
24/05/19,https://www.cbr.ru/press/pr/?file=24052019_152454if2019-05-24T15_23_58.htm,7.75,0
26/04/19,https://www.cbr.ru/press/pr/?file=26042019_133000Key.htm,7.75,0
22/03/19,https://www.cbr.ru/press/pr/?file=22032019_133000Key.htm,7.75,0
08/02/19,https://www.cbr.ru/press/pr/?file=08022019_133000Key.htm,7.75,1
14/12/18,https://www.cbr.ru/press/pr/?file=14122018_133000Key.htm,7.50,0
26/10/18,https://www.cbr.ru/press/pr/?file=26102018_133000Key.htm,7.50,1
14/09/18,https://www.cbr.ru/press/pr/?file=14092018_133000Key.htm,7.25,0
27/07/18,https://www.cbr.ru/press/pr/?file=27072018_133000key.htm,7.25,0
15/06/18,https://www.cbr.ru/press/pr/?file=15062018_133000key.htm,7.25,0
27/04/18,https://www.cbr.ru/press/pr/?file=27042018_133000key.htm,7.25,-1
23/03/18,https://www.cbr.ru/press/pr/?file=23032018_133000keyrate2018-03-23T13_20_35.htm,7.50,-1
09/02/18,https://www.cbr.ru/press/pr/?file=09022018_133031keyrate2018-02-09T13_29_29.htm,7.75,-1
15/12/17,https://www.cbr.ru/press/pr/?file=15122017_133000keyrate2017-12-15T13_25_57.htm,8.25,-1
27/10/17,https://www.cbr.ru/press/pr/?file=27102017_133003keyrate2017-10-27T13_18_28.htm,8.50,-1
15/09/17,https://www.cbr.ru/press/pr/?file=15092017_1330140keyrate2017-09-15T13_22_03.htm,9.00,0
28/07/17,https://www.cbr.ru/press/pr/?file=28072017_133214keyrate2017-07-28T13_23_30.htm,9.00,-1
16/06/17,https://www.cbr.ru/press/pr/?file=16062017_133001keyrate2017-06-16T13_21_27.htm,9.25,-1
28/04/17,https://www.cbr.ru/press/pr/?file=28042017_132959keyrate2017-04-28T13_17_20.htm,9.75,-1
24/03/17,https://www.cbr.ru/press/pr/?file=24032017_132958keyrate2017-03-24T13_25_44.htm,10.00,0
03/02/17,https://www.cbr.ru/press/pr/?file=03022017_133002keyrate2017-02-03T13_09_54.htm,10.00,0
16/11/16,https://www.cbr.ru/press/pr/?file=16122016_133003keyrate2016-12-16T13_16_40.htm,10.00,0
28/10/16,https://www.cbr.ru/press/pr/?file=28102016_133004keyrate2016-10-28T13_09_02.htm,10.00,-1
16/09/16,https://www.cbr.ru/press/pr/?file=16092016_132949keyrate2016-09-16T12_56_02.htm,10.50,0
29/07/16,https://www.cbr.ru/press/pr/?file=29072016_133016keyrate2016-07-29T13_25_34.htm,10.50,-1
10/06/16,https://www.cbr.ru/press/pr/?file=10062016_133019dkp2016-06-10T13_22_24.htm,11.00,0
29/04/16,https://www.cbr.ru/press/pr/?file=29042016_133001dkp2016-04-29T13_03_28.htm,11.00,0
18/03/16,https://www.cbr.ru/press/pr/?file=18032016_133000keyrate2016-03-18T13_21_21.htm,11.00,0
29/01/16,https://www.cbr.ru/press/pr/?file=29012016_133000keyrate2016-01-29T13_01_16.htm,11.00,0
29/12/15,https://www.cbr.ru/press/pr/?file=29122015_113403if2015-12-29T10_44_49.htm,11.00,0
11/12/15,https://www.cbr.ru/press/pr/?file=11122015_133000keyrate2015-12-11T13_15_16.htm,11.00,0
30/10/15,https://www.cbr.ru/press/pr/?file=30102015_133001keyrate2015-10-30T13_17_50.htm,11.00,0
11/09/15,https://www.cbr.ru/press/pr/?file=11092015_160009if2015-09-11T15_43_15.htm,11.00,0
11/09/15,https://www.cbr.ru/press/pr/?file=11092015_133021keyrate2015-09-11T13_01_35.htm,11.00,-1
31/07/15,https://www.cbr.ru/press/pr/?file=31072015_133033keyrate2015-07-31T13_03_35.htm,11.50,-1
15/06/15,https://www.cbr.ru/press/pr/?file=15062015_133028keyrate2015-06-15T13_25_44.htm,12.50,0
06/05/15,https://www.cbr.ru/press/pr/?file=06052015_163917if2015-05-06T16_30_05.htm,12.50,-1
30/04/15,https://www.cbr.ru/press/pr/?file=30042015_133103dkp2015-04-30T13_05_21.htm,14.00,